id;order_id;rating;comment;order_value_usd;created_at
1;152852974;5;;2.48;2026-04-30 12:29:49.970948
2;152853568;5;Test;1.19;2026-04-30 12:33:48.396755
3;152853925;5;;10.47;2026-04-30 12:38:52.080002
4;152855353;5;;12.03;2026-04-30 13:01:57.269860
5;152856566;5;;2.93;2026-04-30 13:20:27.845988
6;152857650;5;;2.93;2026-04-30 13:37:49.896815
7;152858077;5;;2.93;2026-04-30 13:45:39.654917
8;152858257;5;;4.50;2026-04-30 13:48:51.345081
9;152858515;1;Пидорасы вы;2.93;2026-04-30 13:51:45.299742
10;152859076;5;;99.99;2026-04-30 14:04:30.427751
11;152859367;5;;6.01;2026-04-30 14:06:52.952999
12;152859478;5;;8.95;2026-04-30 14:09:04.062378
13;152859525;2;Всё глючит, не видел карту, выбрасывает из покупок;2.93;2026-04-30 14:10:07.733885
14;152860464;5;;2.93;2026-04-30 14:25:23.668873
15;152860889;5;;2.93;2026-04-30 14:31:53.079939
16;152861162;5;;23.16;2026-04-30 14:36:56.207547
17;152861407;5;;23.91;2026-04-30 14:43:25.949316
18;152861597;5;;5.95;2026-04-30 14:45:03.433101
19;152861508;5;;2.59;2026-04-30 14:46:14.113670
20;152863520;5;;10.10;2026-04-30 15:16:58.320164
21;152863993;5;;20.94;2026-04-30 15:25:24.471211
22;152864805;5;ดีมากเร็ว;8.96;2026-04-30 15:37:02.464142
23;152865591;5;;4.48;2026-04-30 15:48:06.441763
24;152866701;5;;13.73;2026-04-30 16:07:43.305103
25;152867753;5;;2.93;2026-04-30 16:22:39.759902
26;152867916;3;;2.48;2026-04-30 16:25:28.966709
27;152869346;5;круто;2.93;2026-04-30 16:46:40.650372
28;152869944;5;;2.93;2026-04-30 16:54:57.636452
29;152870872;5;;2.48;2026-04-30 17:15:20.682844
30;152871751;5;;2.48;2026-04-30 17:21:30.615651
31;152872022;5;Всё норм!!!;5.14;2026-04-30 17:25:08.716003
32;152871990;5;价格不够实惠希望价格实惠;7.31;2026-04-30 17:26:18.239351
33;152872790;5;;33.11;2026-04-30 17:35:40.170008
34;152872984;5;;30.09;2026-04-30 17:38:14.857390
35;152876409;5;;14.99;2026-04-30 18:32:57.556544
36;152876635;1;;5.14;2026-04-30 18:33:17.062307
37;152876702;5;;18.05;2026-04-30 18:34:15.700799
38;152876779;5;;99.99;2026-04-30 18:35:06.587726
39;152876851;4;;6.49;2026-04-30 18:38:19.684028
40;152877372;5;;6.01;2026-04-30 18:43:35.911043
41;152878194;5;;6.01;2026-04-30 19:04:16.994198
42;152878707;5;;9.03;2026-04-30 19:04:38.225472
43;152878927;5;;9.03;2026-04-30 19:08:08.153088
44;152878943;5;Всё гуд.;9.03;2026-04-30 19:08:44.699718
45;152878905;5;Больше наборов для покупок;9.03;2026-04-30 19:09:16.555376
46;152878485;5;"I see this awesome game as an investment; please god don't stop updating it it's awesome and I love the devteam";1.09;2026-04-30 19:09:50.310302
47;152879215;5;;9.03;2026-04-30 19:12:32.496401
48;152879322;5;;30.09;2026-04-30 19:12:41.587744
49;152879456;5;;5.07;2026-04-30 19:14:49.678134
50;152879512;5;;6.42;2026-04-30 19:16:13.569795
51;152879844;4;;16.13;2026-04-30 19:21:36.655199
52;152880495;5;;8.95;2026-04-30 19:31:06.560511
53;152880568;5;;2.49;2026-04-30 19:31:31.259635
54;152880655;5;;25.59;2026-04-30 19:34:18.782467
55;152880796;5;;5.07;2026-04-30 19:35:03.896938
56;152880903;5;;9.03;2026-04-30 19:36:37.525299
57;152881023;5;;9.03;2026-04-30 19:37:35.186906
58;152881199;5;;126.96;2026-04-30 19:40:38.111816
59;152882119;5;;5.14;2026-04-30 19:56:38.310534
60;152882572;5;;8.95;2026-04-30 20:03:04.098732
61;152882796;4;;24.99;2026-04-30 20:06:50.053691
62;152882943;5;;9.03;2026-04-30 20:09:01.861378
63;152882836;4;уберите сообщение об ypn очень мешает;20.12;2026-04-30 20:09:03.084882
64;152883179;5;;44.99;2026-04-30 20:12:12.234762
65;152883281;5;;9.03;2026-04-30 20:13:49.674621
66;152883431;5;;128.52;2026-04-30 20:15:55.784560
67;152883390;5;;1.19;2026-04-30 20:16:36.885198
68;152883777;5;good;1.29;2026-04-30 20:22:28.276363
69;152884145;5;;4.48;2026-04-30 20:27:36.243259
70;152885057;5;;20.94;2026-04-30 20:40:04.538698
71;152885342;5;;9.03;2026-04-30 20:44:54.216887
72;152885345;5;;1.09;2026-04-30 20:45:45.966891
73;152885562;5;;5.07;2026-04-30 20:48:55.464696
74;152885613;5;;6.01;2026-04-30 20:51:07.738114
75;152885987;3;;11.24;2026-04-30 20:56:56.809266
76;152886045;5;имба;13.73;2026-04-30 20:57:13.551242
77;152886204;5;;6.01;2026-04-30 20:59:21.733012
78;152886216;5;;4.99;2026-04-30 21:03:46.422886
79;152886739;3;;14.99;2026-04-30 21:07:54.711246
80;152887129;5;;2.49;2026-04-30 21:14:25.455820
81;152887173;5;;2.93;2026-04-30 21:14:58.810882
82;152887703;5;Rajouter nous plus de produit différents comme expliqué à votre Brand Manager.;24.74;2026-04-30 21:26:56.432449
83;152889113;5;;1.97;2026-04-30 21:50:22.342512
84;152889164;4;;6.62;2026-04-30 21:50:54.209969
85;152889894;5;;6.01;2026-04-30 22:04:40.439279
86;152891018;5;;1.97;2026-04-30 22:25:43.938653
87;152891010;5;;9.03;2026-04-30 22:25:49.507562
88;152892368;5;;2.93;2026-04-30 22:51:08.230600
89;152891290;5;;8.95;2026-04-30 22:51:57.506924
90;152893203;5;;18.05;2026-04-30 23:07:34.297831
91;152893453;5;;2.93;2026-04-30 23:13:44.303944
92;152891763;1;;7.49;2026-04-30 23:19:02.726464
93;152893873;5;;2.49;2026-04-30 23:23:19.765503
94;152894411;5;very good;2.49;2026-04-30 23:35:35.521283
95;152894454;5;;2.93;2026-04-30 23:36:39.563900
96;152894609;5;;2.93;2026-04-30 23:40:05.310669
97;152894595;5;;30.09;2026-04-30 23:40:45.221395
98;152894694;5;;7.99;2026-04-30 23:41:09.050109
99;152894914;5;;5.14;2026-04-30 23:45:31.790015
100;152896150;5;;99.99;2026-05-01 00:06:04.432838
101;152896384;5;;17.92;2026-05-01 00:09:16.501389
102;152899615;5;;8.99;2026-05-01 01:01:37.278861
103;152901565;5;;4.99;2026-05-01 01:35:38.278164
104;152901241;5;;23.24;2026-05-01 01:46:32.833846
105;152902202;5;;2.93;2026-05-01 01:49:40.013371
106;152902598;4;with GST and everything, it cost a lot of money.;59.99;2026-05-01 02:00:00.829831
107;152903438;1;;5.83;2026-05-01 02:18:27.018263
108;152904206;4;可以自主选择文字对比，或者直接可以点击文字转换的按纽，转换成本国文字;4.97;2026-05-01 02:38:31.844322
109;152906597;5;I love this game;14.99;2026-05-01 03:21:05.900704
110;152907102;4;;5.07;2026-05-01 03:29:31.033233
111;152907673;5;;7.31;2026-05-01 03:39:30.754040
112;152907985;5;;51.37;2026-05-01 03:44:10.092050
113;152908394;5;;25.28;2026-05-01 03:51:20.154787
114;152909171;4;;4.98;2026-05-01 04:06:20.237712
115;152909262;5;Awesome;2.49;2026-05-01 04:08:55.761202
116;152909626;5;;14.99;2026-05-01 04:14:56.519159
117;152912334;5;random deals;4.99;2026-05-01 05:01:01.783808
118;152912688;5;I've never bought things like this before. It's kinda cool.;1.97;2026-05-01 05:08:09.727725
119;152913136;5;;2.49;2026-05-01 05:16:00.793110
120;152916931;5;;1.19;2026-05-01 06:16:18.130031
121;152917333;1;too expensive;9.02;2026-05-01 06:21:48.863687
122;152918673;4;;9.00;2026-05-01 06:42:41.309540
123;152918817;5;;11.87;2026-05-01 06:43:50.469169
124;152919537;5;;10.07;2026-05-01 06:54:08.391280
125;152920048;5;;14.99;2026-05-01 07:02:20.787277
126;152920707;5;;5.94;2026-05-01 07:10:38.814066
127;152920813;3;;2.49;2026-05-01 07:12:08.386747
128;152920914;5;;1.97;2026-05-01 07:13:21.090581
129;152922940;5;;4.48;2026-05-01 07:40:10.315500
130;152922923;5;Excelente;7.49;2026-05-01 07:42:55.315238
131;152923676;4;;5.99;2026-05-01 07:51:48.512124
132;152925040;5;;6.60;2026-05-01 08:10:32.584453
133;152926181;5;;5.99;2026-05-01 08:24:25.792684
134;152926516;5;;11.87;2026-05-01 08:26:51.921560
135;152928358;5;отлично  спасибо;10.07;2026-05-01 08:48:23.928666
136;152930438;5;;5.12;2026-05-01 09:11:01.300177
137;152931383;5;;5.49;2026-05-01 09:20:48.504844
138;152932298;5;;2.03;2026-05-01 09:27:08.592739
139;152933642;5;;1.97;2026-05-01 09:40:50.433711
140;152934349;5;;1.19;2026-05-01 09:49:18.161511
141;152934940;5;;18.00;2026-05-01 09:55:17.679531
142;152935139;5;;15.33;2026-05-01 09:58:38.183130
143;152932744;5;;5.99;2026-05-01 10:04:08.837027
144;152935835;1;;4.88;2026-05-01 10:16:30.609711
145;152937995;5;;5.94;2026-05-01 10:32:33.437642
146;152938891;3;;7.49;2026-05-01 10:43:13.993147
147;152942297;5;;5.94;2026-05-01 11:29:00.188643
148;152943418;5;;1.09;2026-05-01 11:44:00.151735
149;152943367;1;What's with your scam check? After making three purchases, the next purchase will trigger a security check which will freeze you for 5-10 minutes. Remove it.;2.49;2026-05-01 11:46:02.727830
150;152943867;5;;7.03;2026-05-01 11:50:34.302795
151;152943805;5;;6.44;2026-05-01 11:50:46.375222
152;152944508;5;;2.92;2026-05-01 11:59:08.214292
153;152945750;5;;39.99;2026-05-01 12:19:05.449716
154;152947239;5;;2.49;2026-05-01 12:37:42.257798
155;152949769;5;;2.92;2026-05-01 13:16:57.596802
156;152952599;5;;2.49;2026-05-01 14:02:33.046580
157;152953150;5;;2.89;2026-05-01 14:11:05.152522
158;152953261;5;;2.49;2026-05-01 14:12:07.296614
159;152953363;5;;7.49;2026-05-01 14:13:34.133352
160;152953429;5;;4.94;2026-05-01 14:15:27.923828
161;152954176;5;;6.26;2026-05-01 14:26:33.382113
162;152954752;5;;14.99;2026-05-01 14:36:07.913344
163;152955901;5;;2.92;2026-05-01 14:56:44.291829
164;152956388;5;;16.01;2026-05-01 15:04:08.535674
165;152956785;5;;44.99;2026-05-01 15:11:08.709600
166;152958685;5;;15.99;2026-05-01 15:40:08.604791
167;152958824;5;;44.99;2026-05-01 15:43:07.036733
168;152960285;5;;2.49;2026-05-01 16:07:03.686282
169;152960437;5;;23.89;2026-05-01 16:09:50.208641
170;152960804;5;;29.98;2026-05-01 16:13:59.779605
171;152961287;5;;5.49;2026-05-01 16:20:54.301765
172;152961358;5;;5.99;2026-05-01 16:22:29.463336
173;152962706;5;;5.49;2026-05-01 16:44:48.209960
174;152963415;5;;14.64;2026-05-01 16:56:37.003199
175;152964092;5;;33.02;2026-05-01 17:06:02.572824
176;152965443;5;;7.49;2026-05-01 17:27:31.756602
177;152965603;5;;20.06;2026-05-01 17:29:41.307621
178;152965776;5;ชำระเงินได้เร็ว ดี ทรัพยากรในเกณฑ์กับราคาแพงมากช่วยลดราคาลงหน่อย;8.49;2026-05-01 17:34:14.778314
179;152967823;5;;11.98;2026-05-01 18:06:54.445393
180;152968143;5;;1.19;2026-05-01 18:12:37.684212
181;152968182;5;;1.19;2026-05-01 18:13:01.682258
182;152968680;5;;8.92;2026-05-01 18:19:11.275736
183;152969151;4;;1.97;2026-05-01 18:27:06.318133
184;152969458;3;Takes so long to just simply pay... that's all. I'll opt out most times to spend the extra money in app instead of here, having to go between apps and accepting the purchase .. and it will only allow my credit card when I try using Applepay function? More simple debit transactions please!;3.19;2026-05-01 18:39:12.131456
185;152970746;5;;2.49;2026-05-01 18:52:06.998917
186;152971295;5;;4.98;2026-05-01 19:01:11.328986
187;152971883;5;;5.06;2026-05-01 19:10:11.008546
188;152971817;5;;199.78;2026-05-01 19:10:50.331840
189;152972004;5;;118.71;2026-05-01 19:14:42.578946
